% of Net Assets,Ticker,Name,SEDOL,Market Price ($),Shares Held,Market Value ($),Date
1.11,IDCC,INTERDIGITAL INC,2465737,55.22,"66,047.00","3,647,115.34",8/11/2022
0.99,LR FP,LEGRAND SA,B11ZRK9,83.32,"38,943.00","3,244,847.11",8/11/2022
0.96,IOT,SAMSARA INC-CL A,BPK3058,16.4,"192,636.00","3,159,230.40",8/11/2022
0.83,6723 JP,RENESAS ELECTRONICS CORP,6635677,9.59,"284,070.00","2,725,323.68",8/11/2022
0.81,VVNT,VIVINT SMART HOME INC,BKLPS43,5.97,"447,268.00","2,670,189.96",8/11/2022
0.76,SWIR,SIERRA WIRELESS INC,2585259,30.63,"81,469.00","2,495,395.47",8/11/2022
0.76,DGII,DIGI INTERNATIONAL INC,2269661,33.36,"74,599.00","2,488,622.64",8/11/2022
0.73,KTN GR,KONTRON AG,4665933,16.99,"141,514.00","2,403,951.87",8/11/2022
0.71,SMRT,SMARTRENT INC,BPCHD26,5.61,"415,326.00","2,329,978.86",8/11/2022
0.68,BFLY,BUTTERFLY NETWORK INC,BMHYQY4,8.61,"260,783.00","2,245,341.63",8/11/2022
0.64,PTC,PTC INC,B95N910,124.05,"16,997.00","2,108,477.85",8/11/2022
0.46,NTGR,NETGEAR INC,2688363,24.93,"61,025.00","1,521,353.25",8/11/2022
0.41,ARLO,ARLO TECHNOLOGIES INC,BYWPZY9,7.22,"184,221.00","1,330,075.62",8/11/2022
0.38,VUZI,VUZIX CORP,B9GT0J2,9.14,"134,886.00","1,232,858.04",8/11/2022
0.38,LSCC,LATTICE SEMICOND,2506658,61.7,"19,954.00","1,231,161.80",8/11/2022
0.34,GSAT,GLOBALSTAR INC,B1GHPM8,1.66,"673,067.00","1,117,291.22",8/11/2022
0.33,BB,BLACKBERRY LTD,BCBHZ42,6.74,"159,445.00","1,074,659.30",8/11/2022
0.33,REZI,RESIDEO TECHNOLOGIES INC,BFD1TJ6,23.28,"45,849.00","1,067,364.72",8/11/2022
0.32,6929 JP,NIPPON CERAMIC CO LTD,6646561,18.32,"58,095.00","1,064,319.15",8/11/2022
0.32,IRDM,IRIDIUM COMMUNIC,B2QH310,45.1,"23,081.00","1,040,953.10",8/11/2022
0.31,SPT LN,SPIRENT COMM,472609,3.39,"295,027.00","999,773.65",8/11/2022
0.3,DAL IM,DATALOGIC SPA,B14P8W5,7.95,"125,105.00","994,653.35",8/11/2022
0.3,SYNA,SYNAPTICS INC,2839268,140.04,"7,040.00","985,881.60",8/11/2022
0.26,LTCH,LATCH INC,BMZP9Z1,1.25,"672,074.00","840,092.50",8/11/2022
0.25,SMTC,SEMTECH CORP,2795542,52.43,"15,440.00","809,519.20",8/11/2022
0.25,FINGB SS,FINGERPRINT CARDS AB-B,BD6S127,0.85,"941,142.00","803,732.80",8/11/2022
0.13,,CASH,,0.08,"5,199,350.11","429,482.46",8/11/2022
